,Unnamed: 0,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Duplex,Terraced,Detached,Penthouse,Apartment,House,State,Area,Microlocation,Price_log,Area_dummy_1,location_append,Longitude,Latitude,geometry,distances_of_area_from_center,Area_dummy_2
0,0,3500000,0,0,0,3,0,0,1,0,1,0,0,1,Lagos,Yaba,Akoka,15.068273526459642,1,"Yaba, Lagos",3.382923,6.497892,POINT (3.382923 6.497892),4.288066587635964,24
1,1,5000000,0,0,0,4,0,0,1,0,1,0,0,1,Lagos,Ikeja,Coker Estate,15.424948470398375,2,"Ikeja, Lagos",3.3532040740949824,6.6048591000000005,POINT (3.3532040740949824 6.6048591000000005),15.298073244237594,33
2,2,100000,0,0,0,5,5,6,1,0,1,0,0,1,Lagos,Ikoyi,"...,. Banana Island",11.512925464970229,3,"Ikoyi, Lagos",3.4280523,6.4523431,POINT (3.4280523 6.4523431),4.4052135036795,35
3,3,6000000,0,0,0,5,0,0,1,0,1,0,0,1,Lagos,Lekki,Ikate,15.60727002719233,4,"Lekki, Lagos",4.0947395,6.4123323,POINT (4.0947395 6.4123323),71.1938845487687,30
4,4,2200000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Lekki Scheme 2,14.603967918328545,5,"Ajah, Lagos",3.5623861,6.4694716,POINT (3.5623861 6.4694716),17.88882291990449,18
5,5,7000000,0,0,0,4,5,5,1,0,1,0,0,1,Lagos,Lekki,Lekki Phase 1,15.761420707019587,4,"Lekki, Lagos",4.0947395,6.4123323,POINT (4.0947395 6.4123323),71.1938845487687,30
6,6,7000000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Lekki Phase 1,15.761420707019587,4,"Lekki, Lagos",4.0947395,6.4123323,POINT (4.0947395 6.4123323),71.1938845487687,30
7,7,3000000,0,0,0,4,0,0,1,0,1,0,0,1,Lagos,Apapa,Costain,14.914122846632385,6,"Apapa, Lagos",3.3683731679424094,6.445187000000001,POINT (3.3683731679424094 6.445187000000001),1.853626188349673,32
8,8,3000000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Ilaje,14.914122846632385,5,"Ajah, Lagos",3.5623861,6.4694716,POINT (3.5623861 6.4694716),17.88882291990449,18
9,9,5000000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Chevron,15.424948470398375,4,"Lekki, Lagos",4.0947395,6.4123323,POINT (4.0947395 6.4123323),71.1938845487687,30
10,10,5000000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Chevron,15.424948470398375,4,"Lekki, Lagos",4.0947395,6.4123323,POINT (4.0947395 6.4123323),71.1938845487687,30
11,11,5000000,0,1,0,5,5,6,1,0,1,0,0,1,Lagos,Lekki,Osapa,15.424948470398375,4,"Lekki, Lagos",4.0947395,6.4123323,POINT (4.0947395 6.4123323),71.1938845487687,30
12,12,8000000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Ikate,15.89495209964411,4,"Lekki, Lagos",4.0947395,6.4123323,POINT (4.0947395 6.4123323),71.1938845487687,30
13,13,1000000,0,0,0,2,0,0,1,0,1,0,0,1,Lagos,Egba,Meiran Abule Egba Abule,13.815510557964274,7,"Egba, Lagos",3.3024791558648614,6.63948615,POINT (3.3024791558648614 6.63948615),20.17032527989224,8
14,14,2500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Off Lekki Epe Expressway,14.73180128983843,5,"Ajah, Lagos",3.5623861,6.4694716,POINT (3.5623861 6.4694716),17.88882291990449,18
15,15,5500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Chevron,15.520258650202699,4,"Lekki, Lagos",4.0947395,6.4123323,POINT (4.0947395 6.4123323),71.1938845487687,30
16,16,3500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Lekki Scheme 2,15.068273526459642,5,"Ajah, Lagos",3.5623861,6.4694716,POINT (3.5623861 6.4694716),17.88882291990449,18
17,17,9000000,0,1,0,5,5,6,1,0,1,0,0,1,Lagos,Lekki,Osapa London,16.012735135300492,4,"Lekki, Lagos",4.0947395,6.4123323,POINT (4.0947395 6.4123323),71.1938845487687,30
