,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Duplex,Terraced,Detached,Penthouse,Apartment,House,State,Area,Microlocation,Area Dummy
0,3500000,0,0,0,3,0,0,1,0,1,0,0,1,Lagos,Yaba,Akoka,
1,5000000,0,0,0,4,0,0,1,0,1,0,0,1,Lagos,Ikeja,Coker Estate,
2,100000,0,0,0,5,5,6,1,0,1,0,0,1,Lagos,Ikoyi,"...,. Banana Island",
3,6000000,0,0,0,5,0,0,1,0,1,0,0,1,Lagos,Lekki,Ikate,
4,2200000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Lekki Scheme 2,
5,7000000,0,0,0,4,5,5,1,0,1,0,0,1,Lagos,Lekki,Lekki Phase 1,
6,7000000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Lekki Phase 1,
7,3000000,0,0,0,4,0,0,1,0,1,0,0,1,Lagos,Apapa,Costain,
8,3000000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Ilaje,
9,5000000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Chevron,
10,5000000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Chevron,
11,5000000,0,1,0,5,5,6,1,0,1,0,0,1,Lagos,Lekki,Osapa,
12,8000000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Ikate,
13,1000000,0,0,0,2,0,0,1,0,1,0,0,1,Lagos,Egba,Meiran Abule Egba Abule,
14,2500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Off Lekki Epe Expressway,
15,5500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Chevron,
16,3500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Lekki Scheme 2,
17,9000000,0,1,0,5,5,6,1,0,1,0,0,1,Lagos,Lekki,Osapa London,
18,8000000,0,0,0,5,5,6,1,0,1,0,0,1,Lagos,Lekki,Ikota,
19,4000000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Lekki Scheme 2,
20,5000000,0,1,0,5,5,6,1,0,1,0,0,1,Lagos,Lekki,Osapa London,
21,4000000,0,0,0,4,3,3,1,0,1,0,0,1,Lagos,Surulere,"Off Adelabu, Surulere, Lagos. Adelabu",
22,3500000,0,0,0,4,0,0,1,0,1,0,0,1,Lagos,Lekki,Lekki,
23,6500000,0,0,0,4,4,4,1,0,1,0,0,1,Lagos,Lekki,Lekki Phase 1,
24,7000000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Lekki Right.,
25,3500000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Ajah,
26,3800000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Second Tollgate,
27,3500000,0,0,0,3,3,4,1,0,1,0,0,1,Lagos,Lekki,Ikota,
28,8000000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Lekki Phase 1,
29,3500000,0,0,0,4,5,5,1,0,1,0,0,1,Lagos,Ajah,Thomas Estate,
30,3500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Surulere,Alade Close Off Adeniran Ogunsanya Adeniran Ogunsanya,
31,3000000,0,0,0,3,3,4,1,0,1,0,0,1,Lagos,Lekki,Lekki Phase 1,
32,6000000,0,1,0,4,4,6,1,0,1,0,0,1,Lagos,Lekki,Shorprite Lekki The Psychologist Osapa London,
33,2500000,0,0,0,5,5,0,1,0,1,0,0,1,Lagos,Surulere,Ekololu Str Off Adelabu Via Akerele Adelabu,
34,10000000,1,1,1,4,4,5,1,0,1,0,0,1,Lagos,Ikeja,Inside An Estate Adeniyi Jones,
35,5000000,0,1,0,4,5,5,1,0,1,0,0,1,Lagos,Lekki,Chevron,
36,2500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Ajah,
37,8000000,1,1,0,5,5,6,1,0,1,0,0,1,Lagos,Lekki,Ikate,
38,8500000,0,1,0,5,6,6,1,0,1,0,0,1,Lagos,Ikeja,Gra Ikeja Ikeja Gra,
39,2000000,0,0,0,3,3,4,1,0,1,0,0,1,Lagos,Ajah,Ajah,
40,2500000,0,0,0,4,4,4,1,0,1,0,0,1,Lagos,Ajah,Ajah,
41,1100000,0,0,0,2,2,3,1,0,1,0,0,1,Lagos,Ojodu,"Isheri North Gra, Opic Isheri North",
42,10000000,0,1,0,5,5,5,1,0,1,0,0,1,Lagos,Lekki,Ikate,
43,4500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Chevron Alternative Lekki Chevron,
44,700000,1,0,1,2,3,3,1,0,1,0,0,1,Lagos,Ipaja,"Amikanle, Command Ipaja Road",
45,3000000,0,0,0,3,3,4,1,0,1,0,0,1,Lagos,Ikeja,Adeniyi Jones Adeniyi Jones,
46,850000,0,0,0,2,2,2,0,0,1,0,0,1,Lagos,Surulere,Off Brown Road Aguda Aguda,
47,7000000,0,0,0,4,0,0,1,0,1,0,0,1,Lagos,Lekki,Lekki Phase 1,
48,6000000,0,0,0,5,6,6,1,0,1,0,0,1,Lagos,Lekki,Eletu Osapa London,
49,4000000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Eden Garden Estate,
50,5000000,0,0,0,4,5,5,1,0,1,0,0,1,Lagos,Lekki,Chevron Drive Chevron,
51,2000000,0,0,0,5,5,6,1,0,1,0,0,1,Lagos,Ajah,Ajah,
52,8000000,0,1,0,5,6,6,1,0,1,0,0,1,Lagos,Ojodu,Omole Phase 1 Omole Phase 1,
53,3500000,0,0,0,3,3,4,1,0,1,0,0,1,Lagos,Lekki,Ikota,
54,2200000,0,0,0,5,5,6,1,0,1,0,0,1,Lagos,Ajah,Ajah,
55,5000000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Chevron,
56,7500000,0,0,0,5,5,6,1,0,1,0,0,1,Lagos,Lekki,Off Admalty Way Lekki Phase 1,
57,10000000,0,1,0,5,5,7,1,0,1,0,0,1,Lagos,Lekki,Off Admiralty Way Lekki Phase 1,
58,3800000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Ajah,
59,4500000,0,1,0,4,5,5,1,0,1,0,0,1,Lagos,Lekki,Chevron Alternative Chevron,
60,5000000,0,1,0,4,4,4,1,0,1,0,0,1,Lagos,Lekki,Chevron,
61,2500000,0,0,0,4,4,4,1,0,1,0,0,1,Lagos,Surulere,Samshonibare Estate Ogunlana,
62,10000000,0,0,0,5,5,6,1,0,1,0,0,1,Lagos,Lekki,Lekki Phase 1,
63,3000000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Sangotedo,
64,4000000,0,0,0,4,4,4,1,0,1,0,0,1,Lagos,Ajah,Ajah,
