,Unnamed: 0,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Duplex,Terraced,Detached,Penthouse,Apartment,House,State,Area,Microlocation,Area Dummy,location_append,Price Standard,Longitude,Latitude
0,0,3500000,0,0,0,3,0,0,1,0,1,0,0,1,Lagos,Yaba,Akoka,,"Yaba, Lagos",-0.1545338190608958,3.3870802913397373,6.507822008056753
1,1,5000000,0,0,0,4,0,0,1,0,1,0,0,1,Lagos,Ikeja,Coker Estate,,"Ikeja, Lagos",0.5321518296631645,3.3478371646130074,6.58927091785122
2,2,100000,0,0,0,5,5,6,1,0,1,0,0,1,Lagos,Ikoyi,"...,. Banana Island",,"Ikoyi, Lagos",-1.7110212895020993,3.4223636811624742,6.4547194487926385
3,3,6000000,0,0,0,5,0,0,1,0,1,0,0,1,Lagos,Lekki,Ikate,,"Lekki, Lagos",0.9899422621458714,3.811528889589191,6.463467417995378
4,4,2200000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Lekki Scheme 2,,"Ajah, Lagos",-0.7496613812884148,3.5659176270003927,6.4616185490531635
5,5,7000000,0,0,0,4,5,5,1,0,1,0,0,1,Lagos,Lekki,Lekki Phase 1,,"Lekki, Lagos",1.4477326946285782,3.811528889589191,6.463467417995378
6,6,7000000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Lekki Phase 1,,"Lekki, Lagos",1.4477326946285782,3.811528889589191,6.463467417995378
7,7,3000000,0,0,0,4,0,0,1,0,1,0,0,1,Lagos,Apapa,Costain,,"Apapa, Lagos",-0.38342903530224925,3.3679055606102306,6.44448631998887
8,8,3000000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Ilaje,,"Ajah, Lagos",-0.38342903530224925,3.5659176270003927,6.4616185490531635
9,9,5000000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Chevron,,"Lekki, Lagos",0.5321518296631645,3.811528889589191,6.463467417995378
10,10,5000000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Chevron,,"Lekki, Lagos",0.5321518296631645,3.811528889589191,6.463467417995378
11,11,5000000,0,1,0,5,5,6,1,0,1,0,0,1,Lagos,Lekki,Osapa,,"Lekki, Lagos",0.5321518296631645,3.811528889589191,6.463467417995378
12,12,8000000,0,1,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Ikate,,"Lekki, Lagos",1.9055231271112851,3.811528889589191,6.463467417995378
13,13,1000000,0,0,0,2,0,0,1,0,1,0,0,1,Lagos,Egba,Meiran Abule Egba Abule,,"Egba, Lagos",-1.299009900267663,3.297808963772764,6.6507877907839195
14,14,2500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Off Lekki Epe Expressway,,"Ajah, Lagos",-0.6123242515436027,3.5659176270003927,6.4616185490531635
15,15,5500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Lekki,Chevron,,"Lekki, Lagos",0.761047045904518,3.811528889589191,6.463467417995378
16,16,3500000,0,0,0,4,4,5,1,0,1,0,0,1,Lagos,Ajah,Lekki Scheme 2,,"Ajah, Lagos",-0.1545338190608958,3.5659176270003927,6.4616185490531635
17,17,9000000,0,1,0,5,5,6,1,0,1,0,0,1,Lagos,Lekki,Osapa London,,"Lekki, Lagos",2.3633135595939923,3.811528889589191,6.463467417995378
